i,x,A,P,rho,u,p,E,a,M,k
40,4.0000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3158780661320182e-01,3.3664279936648853e+02,3.3018631736669643e+05,2.8799924848789275e+06,8.7050635557799342e+02,3.8672066804494099e-01,1.2200000000000000e+00
41,4.1000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3162333809535955e-01,3.3664426516892559e+02,3.3018957934006973e+05,2.8798321692002364e+06,8.7048156438304784e+02,3.8673336569456424e-01,1.2200000000000000e+00
42,4.2000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3166803045019395e-01,3.3664477084728429e+02,3.3019220658657030e+05,2.8796174836085206e+06,8.7044843995906911e+02,3.8674866355451709e-01,1.2200000000000000e+00
43,4.3000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3171701530519744e-01,3.3664457027092925e+02,3.3019442430728674e+05,2.8793763078024033e+06,8.7041126668028483e+02,3.8676495026871460e-01,1.2200000000000000e+00
44,4.4000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3176574254058739e-01,3.3664506272535931e+02,3.3019705062622402e+05,2.8791402697349116e+06,8.7037484801131075e+02,3.8678169928111772e-01,1.2200000000000000e+00
45,4.5000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3181078557517925e-01,3.3664726028780018e+02,3.3020067059016385e+05,2.8789328932754309e+06,8.7034275871429520e+02,3.8679848475456824e-01,1.2200000000000000e+00
46,4.6000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3184887047655705e-01,3.3664940502410849e+02,3.3020447568620433e+05,2.8787640372798685e+06,8.7031661072653469e+02,3.8681257013246678e-01,1.2200000000000000e+00
47,4.7000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3187780478646340e-01,3.3664908428001633e+02,3.3020725557083922e+05,2.8786341633902774e+06,8.7029660101365459e+02,3.8682109511620905e-01,1.2200000000000000e+00
48,4.8000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3189646445343708e-01,3.3664410588358726e+02,3.3020787601919245e+05,2.8785387910736762e+06,8.7028215288713352e+02,3.8682179654814369e-01,1.2200000000000000e+00
49,4.9000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3190315338989747e-01,3.3663008979527399e+02,3.3020423977126525e+05,2.8784675122443796e+06,8.7027188900783949e+02,3.8681025326355406e-01,1.2200000000000000e+00
50,5.0000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3190295876210092e-01,3.3661266505540817e+02,3.3019888880840805e+05,2.8784169517918597e+06,8.7026499681576036e+02,3.8679329432649906e-01,1.2200000000000000e+00
51,5.1000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3190416781569561e-01,3.3660209767960686e+02,3.3019667194238893e+05,2.8783880361703555e+06,8.7026108636658057e+02,3.8678288958656226e-01,1.2200000000000000e+00
52,5.2000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3191381020446205e-01,3.3660686150814615e+02,3.3020154516471270e+05,2.8783801319908183e+06,8.7025962021443229e+02,3.8678901524260784e-01,1.2200000000000000e+00
