i,x,A,P,rho,u,p,E,a,M,k
69,6.9000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3206921719331035e-01,3.3657896916394213e+02,3.3023420577354386e+05,2.8778255909719653e+06,8.7017554987691688e+02,3.8679433042166028e-01,1.2200000000000000e+00
70,7.0000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3207525597266858e-01,3.3656714754874054e+02,3.3023037792002782e+05,2.8777568922764957e+06,8.7016556860957837e+02,3.8678518168276299e-01,1.2200000000000000e+00
71,7.1000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3208212554931134e-01,3.3655563827355360e+02,3.3022664741595334e+05,2.8776847271279320e+06,8.7015503637915458e+02,3.8677663657962841e-01,1.2200000000000000e+00
72,7.2000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3209370169157688e-01,3.3655048718336394e+02,3.3022587276543415e+05,2.8776150017035315e+06,8.7014455025266523e+02,3.8677537782158061e-01,1.2200000000000000e+00
73,7.3000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3210892810222010e-01,3.3654989376680828e+02,3.3022730817356252e+05,2.8775463407318131e+06,8.7013399159725009e+02,3.8677938917088489e-01,1.2200000000000000e+00
74,7.4000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3212578199877558e-01,3.3655064820680315e+02,3.3022941935625137e+05,2.8774752823675354e+06,8.7012299309888169e+02,3.8678514517608797e-01,1.2200000000000000e+00
75,7.5000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3214331751779564e-01,3.3655130851323918e+02,3.3023145676843991e+05,2.8773999535825690e+06,8.7011134070750086e+02,3.8679108381645061e-01,1.2200000000000000e+00
76,7.6000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3216065106412858e-01,3.3655054018083814e+02,3.3023271835731837e+05,2.8773185928119179e+06,8.7009883197291651e+02,3.8679576137083460e-01,1.2200000000000000e+00
77,7.7000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3217687248514400e-01,3.3654689291779073e+02,3.3023249338553863e+05,2.8772294657468069e+06,8.7008527464406927e+02,3.8679759642578010e-01,1.2200000000000000e+00
78,7.8000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3219072160669956e-01,3.3653820992191487e+02,3.3022978420290945e+05,2.8771300043521235e+06,8.7007038452756478e+02,3.8679423631301979e-01,1.2200000000000000e+00
79,7.9000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3220401744221246e-01,3.3652729685362391e+02,3.3022594343407732e+05,2.8770230650374764e+06,8.7005445648364662e+02,3.8678877436443454e-01,1.2200000000000000e+00
80,8.0000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3221892026460305e-01,3.3651752190578344e+02,3.3022260068771604e+05,2.8769122517715762e+06,8.7003787151211600e+02,3.8678491238653762e-01,1.2200000000000000e+00
81,8.1000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3223608803724298e-01,3.3650981560073637e+02,3.3022023962187365e+05,2.8767985231915750e+06,8.7002072914960104e+02,3.8678367575179134e-01,1.2200000000000000e+00
82,8.2000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3225423908077174e-01,3.3650194050703828e+02,3.3021786758657498e+05,2.8766794416523785e+06,8.7000276949501415e+02,3.8678260840750889e-01,1.2200000000000000e+00
83,8.3000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3227165683176059e-01,3.3649090794682053e+02,3.3021415735808172e+05,2.8765517627919186e+06,8.6998364716561616e+02,3.8677842858667405e-01,1.2200000000000000e+00
84,8.4000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3228809263567556e-01,3.3647614266323063e+02,3.3020887279503111e+05,2.8764145941137546e+06,8.6996325425117277e+02,3.8677052279967267e-01,1.2200000000000000e+00
85,8.5000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3230525713996923e-01,3.3646045868190879e+02,3.3020325530310930e+05,2.8762704217704474e+06,8.6994182810161146e+02,3.8676201995728077e-01,1.2200000000000000e+00
86,8.6000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3232499881775919e-01,3.3644717280395241e+02,3.3019864062713960e+05,2.8761219780435101e+06,8.6991961798496015e+02,3.8675662193167043e-01,1.2200000000000000e+00
87,8.7000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3234831922904324e-01,3.3643808867144293e+02,3.3019570148394746e+05,2.8759703119255900e+06,8.6989669207161296e+02,3.8675637203566487e-01,1.2200000000000000e+00
88,8.8000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3237456247238890e-01,3.3643134010523926e+02,3.3019384769960976e+05,2.8758132334814207e+06,8.6987280933020384e+02,3.8675923249548300e-01,1.2200000000000000e+00
89,8.9000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3240265899808459e-01,3.3642322966882426e+02,3.3019216089427372e+05,2.8756473246761044e+06,8.6984763426558015e+02,3.8676110207837638e-01,1.2200000000000000e+00
90,9.0000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3243238410362703e-01,3.3640747584464435e+02,3.3019037328783062e+05,2.8754693789788978e+06,8.6982099807156715e+02,3.8675483414458273e-01,1.2200000000000000e+00
91,9.1000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3246638867885221e-01,3.3636675153265810e+02,3.3019041445575783e+05,2.8752760105905426e+06,8.6979327742762268e+02,3.8672033948968743e-01,1.2200000000000000e+00
92,9.2000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3252536860667010e-01,3.3625433721012047e+02,3.3020795542795229e+05,2.8750757421448082e+06,8.6976821083010225e+02,3.8660223841614200e-01,1.2200000000000000e+00
93,9.3000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3270419835753358e-01,3.3592602377706936e+02,3.3031576554718887e+05,2.8749391309640291e+06,8.6976415778627324e+02,3.8622656586823428e-01,1.2200000000000000e+00
94,9.4000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3334587170817571e-01,3.3484001613692271e+02,3.3077581804964138e+05,2.8751047296291129e+06,8.6984590347181108e+02,3.8494176359338778e-01,1.2200000000000000e+00
95,9.5000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3565559865880852e-01,3.3105040892524812e+02,3.3250701443905401e+05,2.8763779261182193e+06,8.7023690480238611e+02,3.8041412298002142e-01,1.2200000000000000e+00
96,9.6000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.4493454590106960e-01,3.1606424263931564e+02,3.3958057478776213e+05,2.8824867769955983e+06,8.7192506930977254e+02,3.6249014251822842e-01,1.2200000000000000e+00
97,9.7000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.6692888745983527e-01,2.8133747923194682e+02,3.5640371927694220e+05,2.8971064505092246e+06,8.7576328823128517e+02,3.2124831334291654e-01,1.2200000000000000e+00
98,9.8000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.8759730263407450e-01,2.5007074511605018e+02,3.7222021398049081e+05,2.9106377198609146e+06,8.7910347305748292e+02,2.8446110472788283e-01,1.2200000000000000e+00
99,9.9000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.9493563284862838e-01,2.3913577788462422e+02,3.7777147640906158e+05,2.9148599439481921e+06,8.8015570125756767e+02,2.7169712988616296e-01,1.2200000000000000e+00
100,1.0000000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9704590209508934e-01,2.3596774777445046e+02,3.7931232792204252e+05,2.9156366858122577e+06,8.8038884935338990e+02,2.6802673380945163e-01,1.2200000000000000e+00
101,1.0100000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9767074507195883e-01,2.3499664359902755e+02,3.7972272951966355e+05,2.9155101421838934e+06,8.8040441778893864e+02,2.6691897365667677e-01,1.2200000000000000e+00
102,1.0200000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9784364888347652e-01,2.3464580095077713e+02,3.7977946744894976e+05,2.9150239239293151e+06,8.8034285940032123e+02,2.6653910853620710e-01,1.2200000000000000e+00
103,1.0300000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9785838237910993e-01,2.3445708023893593e+02,3.7970712979151419e+05,2.9143585247890167e+06,8.8024816819879766e+02,2.6635338613506265e-01,1.2200000000000000e+00
104,1.0400000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9785113141903978e-01,2.3439219262390225e+02,3.7960904812949797e+05,2.9136326129762484e+06,8.8013981025049929e+02,2.6631245387842550e-01,1.2200000000000000e+00
105,1.0500000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9787586658654901e-01,2.3445954898048623e+02,3.7952627394516632e+05,2.9128996924270163e+06,8.8002564261327041e+02,2.6642354225525688e-01,1.2200000000000000e+00
106,1.0600000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9790199804470678e-01,2.3459104273983357e+02,3.7943537777732674e+05,2.9121133996747481e+06,8.7990102488774914e+02,2.6661071655162677e-01,1.2200000000000000e+00
107,1.0700000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9790166016272595e-01,2.3477753296848914e+02,3.7931271328225353e+05,2.9112262583445921e+06,8.7975903404481380e+02,2.6686572559427663e-01,1.2200000000000000e+00
108,1.0800000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9786021051042781e-01,2.3500441322093315e+02,3.7914598362731485e+05,2.9102118508566786e+06,8.7959615017792203e+02,2.6717308070686435e-01,1.2200000000000000e+00
109,1.0900000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9782408847574664e-01,2.3525228859889251e+02,3.7897007258220972e+05,2.9091067972859736e+06,8.7941864205775209e+02,2.6750887159774733e-01,1.2200000000000000e+00
110,1.1000000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9787410958663334e-01,2.3550242876859855e+02,3.7884674294208345e+05,2.9079869618417150e+06,8.7923875113044994e+02,2.6784809980885133e-01,1.2200000000000000e+00
111,1.1100000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9802507822095430e-01,2.3568322380778918e+02,3.7878764230548515e+05,2.9068532379427571e+06,8.7905918899783137e+02,2.6810848092775080e-01,1.2200000000000000e+00
112,1.1200000000000000e+02,9.9999999999999956e-01,3.5449077018110313e+00,5.9823694007388573e-01,2.3579141784275478e+02,3.7876121710798092e+05,2.9056583543726113e+06,8.7887286075374482e+02,2.6828842756679705e-01,1.2200000000000000e+00
