i,x,A,P,rho,u,p,E,a,M,k
36,1.5376884422110553e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5803164053618777e-01,6.9819895587672681e+02,1.5109389824394850e+05,2.9053929470603545e+06,8.4521441767654233e+02,8.2606134168421474e-01,1.2200000000000000e+00
37,1.5804020100502512e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5788042150296236e-01,6.9871573123543726e+02,1.5098306129004370e+05,2.9053610287933969e+06,8.4515203792061322e+02,8.2673377083079225e-01,1.2200000000000000e+00
38,1.6231155778894470e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5772927341604213e-01,6.9923255713478613e+02,1.5087228751159998e+05,2.9053293336364967e+06,8.4508964096950820e+02,8.2740637588766186e-01,1.2200000000000000e+00
39,1.6658291457286432e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5757819620107414e-01,6.9974943378371631e+02,1.5076157683843761e+05,2.9052978615288604e+06,8.4502722677409940e+02,8.2807915723025560e-01,1.2200000000000000e+00
40,1.7085427135678390e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5742718982856705e-01,7.0026636124431127e+02,1.5065092923243929e+05,2.9052666124088666e+06,8.4496479530137515e+02,8.2875211504468183e-01,1.2200000000000000e+00
41,1.7512562814070352e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5727625431263607e-01,7.0078333943557527e+02,1.5054034468662314e+05,2.9052355862135715e+06,8.4490234653400773e+02,8.2942524933249007e-01,1.2200000000000000e+00
42,1.7939698492462310e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5712538970967397e-01,7.0130036813747415e+02,1.5042982322416239e+05,2.9052047828782126e+06,8.4483988046988816e+02,8.3009855991578030e-01,1.2200000000000000e+00
43,1.8366834170854269e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5697459611647094e-01,7.0181744699680303e+02,1.5031936489701248e+05,2.9051742023357414e+06,8.4477739712146081e+02,8.3077204644467639e-01,1.2200000000000000e+00
44,1.8793969849246230e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5682387366831605e-01,7.0233457553312451e+02,1.5020896978452569e+05,2.9051438445163597e+06,8.4471489651504760e+02,8.3144570840489873e-01,1.2200000000000000e+00
45,1.9221105527638189e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5667322253627678e-01,7.0285175314743378e+02,1.5009863799148338e+05,2.9051137093471624e+06,8.4465237868988061e+02,8.3211954512886088e-01,1.2200000000000000e+00
46,1.9648241206030150e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5652264292240956e-01,7.0336897913764437e+02,1.4998836964465576e+05,2.9050837967518931e+06,8.4458984369638597e+02,8.3279355581558734e-01,1.2200000000000000e+00
47,2.0075376884422109e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5637213505033879e-01,7.0388625272936599e+02,1.4987816488606413e+05,2.9050541066509783e+06,8.4452729159279397e+02,8.3346773957040943e-01,1.2200000000000000e+00
48,2.0502512562814070e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5622169914776766e-01,7.0440357313335551e+02,1.4976802386049967e+05,2.9050246389620528e+06,8.4446472243882340e+02,8.3414209547916962e-01,1.2200000000000000e+00
49,2.0929648241206027e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5607133541684018e-01,7.0492093964318394e+02,1.4965794669439329e+05,2.9049953936012215e+06,8.4440213628494735e+02,8.3481662273448487e-01,1.2200000000000000e+00
50,2.1356783919597988e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5592104398870041e-01,7.0543835178533232e+02,1.4954793346344269e+05,2.9049663704854287e+06,8.4433953315590281e+02,8.3549132082990707e-01,1.2200000000000000e+00
51,2.1783919597989949e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5577082486036867e-01,7.0595580952810496e+02,1.4943798414766634e+05,2.9049375695361909e+06,8.4427691302773610e+02,8.3616618983031810e-01,1.2200000000000000e+00
52,2.2211055276381910e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5562067781567666e-01,7.0647331354381913e+02,1.4932809857513758e+05,2.9049089906848310e+06,8.4421427579899068e+02,8.3684123071146932e-01,1.2200000000000000e+00
53,2.2638190954773867e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5547060233736030e-01,7.0699086550101856e+02,1.4921827635946925e+05,2.9048806338790832e+06,8.4415162125859456e+02,8.3751644573865169e-01,1.2200000000000000e+00
54,2.3065326633165828e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5532059752403957e-01,7.0750846834143681e+02,1.4910851684083533e+05,2.9048524990904522e+06,8.4408894905542559e+02,8.3819183882595716e-01,1.2200000000000000e+00
55,2.3492462311557789e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5517066203233568e-01,7.0802612647466071e+02,1.4899881904495225e+05,2.9048245863211695e+06,8.4402625867692780e+02,8.3886741578934154e-01,1.2200000000000000e+00
56,2.3919597989949746e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5502079406893469e-01,7.0854384580813019e+02,1.4888918167766748e+05,2.9047968956089951e+06,8.4396354944582913e+02,8.3954318438679087e-01,1.2200000000000000e+00
57,2.4346733668341707e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5487099145740999e-01,7.0906163352971032e+02,1.4877960317278994e+05,2.9047694270277577e+06,8.4390082054406685e+02,8.4021915403823755e-01,1.2200000000000000e+00
58,2.4773869346733668e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5472125179761484e-01,7.0957949758294160e+02,1.4867008180579109e+05,2.9047421806816258e+06,8.4383807107051189e+02,8.4089533514736203e-01,1.2200000000000000e+00
59,2.5201005025125625e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5457157271965097e-01,7.1009744582724215e+02,1.4856061587472883e+05,2.9047151566916052e+06,8.4377530013332500e+02,8.4157173801489515e-01,1.2200000000000000e+00
60,2.5628140703517586e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5442195220954167e-01,7.1061548495775003e+02,1.4845120393204992e+05,2.9046883551745554e+06,8.4371250696874540e+02,8.4224837143972098e-01,1.2200000000000000e+00
61,2.6055276381909547e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5427238895207949e-01,7.1113361936486922e+02,1.4834184502840301e+05,2.9046617762172245e+06,8.4364969106649573e+02,8.4292524124070156e-01,1.2200000000000000e+00
62,2.6482412060301508e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5412288260304028e-01,7.1165185022478965e+02,1.4823253890596470e+05,2.9046354198510009e+06,8.4358685226977184e+02,8.4360234907645226e-01,1.2200000000000000e+00
63,2.6909547738693465e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5397343387632498e-01,7.1217017520186096e+02,1.4812328605990976e+05,2.9046092860362763e+06,8.4352399080793327e+02,8.4427969205681908e-01,1.2200000000000000e+00
64,2.7336683417085426e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5382404432201905e-01,7.1268858917712510e+02,1.4801408757993829e+05,2.9045833746676971e+06,8.4346110721632056e+02,8.4495726368369883e-01,1.2200000000000000e+00
65,2.7763819095477387e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5367471568987282e-01,7.1320708635740471e+02,1.4790494469705460e+05,2.9045576856122618e+06,8.4339820210423079e+02,8.4563505658180604e-01,1.2200000000000000e+00
66,2.8190954773869343e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5352544882836625e-01,7.1372566393568502e+02,1.4779585800046736e+05,2.9045322187897079e+06,8.4333527575228766e+02,8.4631306724246080e-01,1.2200000000000000e+00
67,2.8618090452261304e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5337624216640370e-01,7.1424432715177272e+02,1.4768682635841562e+05,2.9045069742979771e+06,8.4327232755582918e+02,8.4699130258663191e-01,1.2200000000000000e+00
68,2.9045226130653266e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5322708995839133e-01,7.1476309515639343e+02,1.4757784567174598e+05,2.9044819525752640e+06,8.4320935537996127e+02,8.4766978757524780e-01,1.2200000000000000e+00
