i,x,A,P,rho,u,p,E,a,M,k
129,5.5100502512562812e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.1851597749084255e-01,3.5590229769456209e+02,3.2019220910547418e+05,2.8702267332289913e+06,8.6796901915447904e+02,4.1004032383697264e-01,1.2200000000000000e+00
130,5.5527638190954782e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.1777139829831864e-01,3.5727324701126065e+02,3.1963396944673307e+05,2.8698513188717738e+06,8.6783537953033579e+02,4.1168320102899414e-01,1.2200000000000000e+00
131,5.5954773869346734e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.1697372556246357e-01,3.5873975162453661e+02,3.1903573187343538e+05,2.8694459828443974e+06,8.6769149983997306e+02,4.1344158804217673e-01,1.2200000000000000e+00
132,5.6381909547738696e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.1602530708400185e-01,3.6046485300588387e+02,3.1832395165359706e+05,2.8689521301169475e+06,8.6751915642681683e+02,4.1551226890549059e-01,1.2200000000000000e+00
133,5.6809045226130657e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.1480868358352583e-01,3.6264625361891234e+02,3.1741036274224205e+05,2.8683009078176850e+06,8.6729638088248714e+02,4.1813417144657550e-01,1.2200000000000000e+00
134,5.7236180904522618e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.1323075539534446e-01,3.6544285213593554e+02,3.1622533072086173e+05,2.8674401224217075e+06,8.6700560729824554e+02,4.2149998692018270e-01,1.2200000000000000e+00
135,5.7663316582914579e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.1125615011671599e-01,3.6891862904891411e+02,3.1474295851935481e+05,2.8663538545626467e+06,8.6663984816213724e+02,4.2568851389798334e-01,1.2200000000000000e+00
136,5.8090452261306531e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.0890468975337111e-01,3.7304597200389463e+02,3.1297903797614778e+05,2.8650598971838877e+06,8.6620226385995636e+02,4.3066843342285122e-01,1.2200000000000000e+00
137,5.8517587939698492e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.0622852870321067e-01,3.7774290102721386e+02,3.1097365365621186e+05,2.8635948461945183e+06,8.6570196896836740e+02,4.3634289232050544e-01,1.2200000000000000e+00
138,5.8944723618090453e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.0328992075749934e-01,3.8290960421406947e+02,3.0877430841039843e+05,2.8619999114420488e+06,8.6514993138075761e+02,4.4259334749406420e-01,1.2200000000000000e+00
